year,conference_ID,conference,state,team,seed,round,offense_efficiency,rank_offense_efficiency,points_above_offense_avg,rank_points_above_offense_avg,defense_efficiency,rank_defense_efficiency,points_above_defense_avg,rank_points_above_defense_avg,points_above_team_avg,rank_points_above_team_avg,games,wins,losses,win%,fieldgoal%,freethrow_fieldgoal,turnover%,turnover_forced%,rebound_offense%,rebound_defense%,opp_rebound_offense%,opp_rebound_defense%,2point%,3point%,block%,blocked%,assist%,opp_assist %,avg_height,experience,talent,freethrow%,opp_freethrow%,avg_points_possession,avg_points_nonpossession,%games_elite_team_loss,exp_win%_bubble_team,Column-45,Column-46,Column-47
3/20/24,P12,24,Colorado,Colorado,10,32,113.528,30,117.579,25,101.908,93,99.1127,42,18.4666,26,34,24,10,70.58823529,55.3,35.3,18.1,15.2,32.4,76,24,67.6,53.6,39.4,5.5,9.3,56.1,43.3,78.711,2.2,38.964,77.8,70.7,1.135,1.019,26.08,1.7,,,
3/20/24,MWC,20,Colorado,Colorado St.,10,64,112.111,50,115.382,42,103.134,124,98.779,38,16.6027,38,32,22,10,68.75,54.6,32.6,14.8,16.9,24.3,72.5,27.5,75.7,57.6,33.2,8.1,8.6,65.7,48.7,76.588,2.578,21.58,75.4,74.2,1.121,1.03,27.18,1.5,,,
3/20/24,BE,8,Connecticut,Connecticut,1,1,122.708,1,126.608,1,97.6459,27,94.3949,11,32.213,1,34,31,3,91.17647059,57.1,33.3,14.9,16.2,36.5,73.2,26.8,63.5,58.5,36.7,14.2,8.3,63.7,46,78.369,1.709,58.255,74.2,72.2,1.23,0.973,33.643,11.3,,,
3/20/24,BE,8,Ohio,Creighton,3,16,116.365,18,120.091,12,100.617,68,96.6912,24,23.3993,11,32,23,9,71.875,57.5,24.5,15.3,11.2,25.9,75.4,24.6,74.1,60.6,36.1,8.6,9.1,58.6,40.9,78.515,2.322,52.884,78.1,78.7,1.163,1.007,33.229,4.4,,,
3/20/24,A10,1,Ohio,Dayton,7,32,115.089,20,118.601,18,102.217,102,101.304,87,17.2975,32,31,24,7,77.41935484,56.6,37.2,15.8,15.7,26.9,71,29,73.1,53.7,40.2,11.3,10,58.3,50.7,76.937,2.205,32.899,73.4,73.3,1.153,1.022,23.183,2.6,,,
3/20/24,MVC,19,Iowa,Drake,10,64,114.237,25,115.619,38,100.305,62,100.904,75,14.7142,51,33,27,6,81.81818182,54.9,32.6,13.9,17.4,24.2,77.9,22.1,75.8,55.1,36.5,4.5,7.2,55.9,41.6,76.36,1.786,15.682,76.3,70.2,1.14,1.003,16.549,1.7,,,
3/20/24,ACC,2,North Carolina ,Duke,4,8,118.229,7,121.827,7,99.4864,41,96.9502,26,24.8767,8,32,24,8,75,55.2,33.8,14.3,16.9,31.8,74.1,25.9,68.2,54.4,37.7,9.8,11.8,53.8,50.7,78.244,1.152,91.61,72.2,69,1.178,0.995,26.968,3.3,,,
3/20/24,A10,1,Pennsylvania,Duquesne,11,32,104.828,190,106.921,166,99.8115,50,97.5497,28,9.37104,86,34,23,11,67.64705882,50.1,33.1,17.5,19.5,29.9,70,30,70.1,49.6,33.9,12.7,11.4,53.8,52.3,76.501,1.999,0.2,71.4,70.7,1.048,0.996,19.651,-1.8,,,
3/20/24,SEC,28,Florida,Florida,7,64,114.641,22,119.317,14,105.628,198,101.129,83,18.1884,29,35,24,11,68.57142857,51.5,38.6,15.8,14.5,37.5,71.1,28.9,62.5,51.7,34.2,12.1,9.6,50.2,41,78.508,1.707,30.164,71.2,70.6,1.146,1.057,31.29,3,,,
3/20/24,Amer,4,Florida,Florida Atlantic,8,64,117.369,13,118.961,16,104.021,150,102.725,109,16.2359,41,33,25,8,75.75757576,55,34.8,15.8,16.5,33.8,70.8,29.2,66.2,56,35.6,7.8,6.7,51,37.9,76.544,2.764,21.565,72,72.7,1.173,1.041,20.437,1.2,,,
3/20/24,WCC,33,Washington,Gonzaga,5,16,119.756,3,120.997,9,99.6295,46,99.4329,46,21.5641,15,31,24,7,77.41935484,56.7,31.5,14,16.5,33.3,72.8,27.2,66.7,58.3,35.5,10.1,6.4,52.1,48.2,77.65,1.84,72.006,72.6,72.7,1.198,0.994,23.847,2.5,,,
3/20/24,SWAC,31,Louisiana,Grambling St.,16,64,97.5516,313,99.2736,297,102.899,117,107.084,197,-7.80999,267,31,17,14,54.83870968,48.2,39.6,20.5,19,28.1,67.3,32.7,71.9,47,34.1,8.3,7.9,40.6,55.1,76.762,2.34,12.502,70.6,73.8,0.971,1.027,15.298,-8,,,
3/20/24,WAC,32,Colorado,Grand Canyon,12,32,112.74,40,113.478,63,95.7241,6,99.5638,51,13.9138,53,32,28,4,87.5,52,45.3,17.8,19.9,34.6,70.4,29.6,65.4,52.3,34.4,13.5,7.1,45.2,48,78.109,2.618,14.992,75.3,70.8,1.127,0.958,11.307,1.3,,,
3/20/24,B12,7,Texas,Houston,1,16,113.057,34,118.868,17,88.2881,1,87.1492,2,31.7188,2,34,30,4,88.23529412,49.7,29.9,13.7,24.7,36.9,69.8,30.2,63.1,48.4,34.7,16.1,7.4,49.1,60.2,75.893,2.28,63.543,69.4,67,1.13,0.881,34.485,10.6,,,
3/20/24,MEAC,18,Washington D.C,Howard,16,68,106.37,150,105.489,192,107.254,240,113.752,334,-8.26281,276,32,16,16,50,52,42.2,21.4,16.7,33.4,69.3,30.7,66.6,49.2,37.5,7.5,10.9,55.3,46.9,76.439,2.194,31.316,75,70.1,1.064,1.072,8.38,-12.1,,,
3/20/24,B10,6,Illinois,Illinois,3,8,118.858,6,125.551,3,104.051,151,101.564,93,23.9871,10,34,26,8,76.47058824,53.8,37.8,15.1,12.3,36.2,73.9,26.1,63.8,54.7,34.9,8.2,8.3,44.4,42.6,78.785,2.444,56.834,74.5,71.7,1.188,1.039,32.635,6,,,
3/20/24,B12,7,Iowa,Iowa St.,2,16,110.446,74,113.864,55,89.9131,2,87.1458,1,26.7178,5,34,27,7,79.41176471,51.9,36.1,15.7,25.7,31.6,70.6,29.4,68.4,51.7,34.9,10.8,8.7,58,58.9,77.594,1.824,44.201,69.7,71.2,1.108,0.899,33.017,6.9,,,
3/20/24,SB,26,Virginia,James Madison,12,32,115.358,19,113.858,56,96.5285,11,100.958,79,12.9001,59,33,30,3,90.90909091,54.4,34.2,14.7,19.8,32,72.4,27.6,68,54.2,36.5,7.6,8.9,54.3,42,77.286,2.428,3.831,70.5,73.1,1.152,0.965,9.457,1.5,,,
3/20/24,B12,7,Kansas,Kansas,4,32,107.292,134,113.382,65,99.1572,35,94.1566,10,19.2256,22,31,21,10,67.74193548,53.4,32.8,16.4,16.8,25.3,73.6,26.4,74.7,54.8,33.3,11.1,7,66.5,51.1,78.855,2.102,64.218,72.9,69.9,1.073,0.989,37.263,4.3,,,
3/20/24,SEC,28,Kentucky,Kentucky,3,64,119.233,5,122.742,5,106.076,211,102.724,108,20.018,19,32,23,9,71.875,57.4,30.4,14.2,16,28.9,69.8,30.2,71.1,54.7,41.2,16.1,8.9,54.6,51.9,78.77,0.982,73.978,77.3,72,1.194,1.064,29.177,2.9,,,
3/20/24,BW,11,California,Long Beach St.,15,64,106.212,155,107.857,145,105.197,186,107.862,210,-0.00456917,163,33,19,14,57.57575758,48.9,38.1,17.1,18.5,33.3,70.4,29.6,66.7,49.7,31.3,12.6,5.9,55.1,59,77.131,2.22,11.174,71,72.4,1.058,1.049,12.603,-8,,,
3/20/24,BSth,10,Virginia,Longwood,16,64,107.318,132,105.712,188,101.377,81,104.753,146,0.95941,157,31,18,13,58.06451613,49.4,39.5,18,19.6,36.7,74.5,25.5,63.3,48.6,34.2,7.2,7.2,48,49.3,77.071,2.323,17.521,68.8,70.1,1.068,1.009,9.715,-8.6,,,
3/20/24,BE,8,Wisconsin,Marquette,2,16,112.444,45,118.294,21,100.601,67,95.5576,19,22.7369,12,34,25,9,73.52941176,55.1,25.6,14.3,21.1,26,69.2,30.8,74,56,35.8,9.8,8.4,54.3,59.2,78.072,1.872,57.136,71.5,75.3,1.126,1.002,37.073,6.5,,,
3/20/24,Slnd,29,Louisiana,McNeese St.,12,64,117.513,11,114.033,51,96.1176,10,101.171,84,12.8626,60,29,26,3,89.65517241,54.9,40.6,14.2,23,32.1,69.6,30.4,67.9,52.8,39.4,12.8,9,51.8,57.9,75.996,2.328,18.38,69.5,71.4,1.174,0.959,8.837,0.7,,,
3/20/24,B10,6,Michigan,Michigan St.,9,32,109.535,93,113.76,57,99.3536,36,93.7263,8,20.0339,18,33,19,14,57.57575758,51.5,29.9,14.7,18.7,29.9,71.3,28.7,70.1,50.5,35.9,12,7.7,60,54.9,77.257,2.07,67.335,70.6,71.4,1.097,0.989,34.196,0.21,,,
3/20/24,SEC,28,Mississippi,Mississippi St.,8,64,108.114,118,113.678,60,100.035,55,95.6951,20,17.9825,30,34,21,13,61.76470588,51.7,37.9,18.7,18.2,35.4,72.4,27.6,64.6,53.4,32.5,9.1,10.6,52.8,48.3,76.879,2.241,43.205,67.2,75.1,1.081,0.999,32.154,0.8,,,
3/20/24,BSky,9,Montana,Montana St.,16,68,105.019,184,103.305,234,105.726,200,107.206,198,-3.90152,213,31,15,16,48.38709677,53.9,30.7,16.8,18.6,20.7,71.4,28.6,79.3,53.4,36.4,6.3,7.8,47.8,46.9,77.044,2.373,0.2,73.4,71.5,1.051,1.061,9.572,-12.6,,,
3/20/24,OVC,22,Kentucky,Morehead St.,14,64,110.583,72,108.989,124,99.5625,44,103.52,120,5.46884,111,30,22,8,73.33333333,54.4,31.3,18.5,15.5,32,73.6,26.4,68,55.6,35.3,11.2,7.9,52.4,41.1,78.094,2.372,16.078,71.5,75.8,1.102,0.999,11.774,-3.4,,,
3/20/24,B10,6,Nebraska,Nebraska,8,64,110.955,63,115.866,36,100.262,60,97.6744,30,18.1912,28,33,23,10,69.6969697,53.2,32.4,15.9,16.4,27.8,70,30,72.2,52.8,35.8,7.2,10.8,57.1,52.5,77.428,2.43,27.887,75.4,69.9,1.108,1.001,29.05,2.4,,,
3/20/24,MWC,20,Nevada,Nevada,10,64,112.943,37,115.55,40,100.063,57,98.7358,36,16.814,36,32,25,7,78.125,53.3,46.2,15,17.3,27.5,72.8,27.2,72.5,52.6,36.5,11.2,6.7,58.1,54.9,77.925,2.436,28.02,72.3,69.7,1.128,1.001,22.983,2.7,,,
3/20/24,MWC,20,New Mexico,New Mexico,11,64,112.623,41,115.411,41,98.1694,29,96.4738,23,18.9368,23,34,25,9,73.52941176,51,33.1,13.9,19.5,33.4,73,27,66.6,51.4,33.4,13.5,9.6,49.3,54.2,77.055,1.908,55.824,71.8,74,1.126,0.98,23.773,1.7,,,
3/20/24,ACC,2,North Carolina ,North Carolina,1,16,113.459,31,117.796,24,97.8323,28,93.151,6,24.6454,9,34,27,7,79.41176471,51.3,36.8,14.4,14.9,32.8,76.5,23.5,67.2,50.3,35.4,10.2,9.6,51.5,40.6,77.172,2.174,88.407,75.4,74.4,1.136,0.98,30.665,6.6,,,
3/20/24,ACC,2,North Carolina ,North Carolina St.,11,4,109.748,90,114.385,47,104.556,169,101.329,89,13.056,58,36,22,14,61.11111111,50.7,32.5,13.7,17.9,28.6,70.7,29.3,71.4,50.1,34.6,9.3,7.7,46.1,48.4,77.049,2.403,48.869,73.4,73.2,1.098,1.045,28.902,-0.6,,,
3/20/24,B10,6,Illinois,Northwestern,9,32,112.16,49,116.657,30,104.781,179,100.752,72,15.9057,46,32,21,11,65.625,53.2,29.9,13.3,18.8,25.7,71.8,28.2,74.3,49.7,39.4,9.9,10.3,59.6,58.7,77.579,2.306,35.529,74.8,72,1.122,1.051,30.87,1.5,,,
3/20/24,Horz,14,California,Oakland,14,32,110.679,70,108.593,135,105.581,196,105.776,165,2.81743,137,34,23,11,67.64705882,52.1,30.9,16.2,16.3,30.6,71.4,28.6,69.4,51.8,35.1,7.9,8,53.3,62.4,76.451,2.571,7.281,75.8,73.5,1.104,1.053,15.066,-4.2,,,
3/20/24,P12,24,Oregon,Oregon,11,32,109.416,96,114.036,50,104.173,159,100.607,70,13.4292,55,34,23,11,67.64705882,51.8,32.3,14.8,17.9,28.7,72.9,27.1,71.3,52.7,33.6,9.8,9.3,50.7,50.1,76.758,1.969,47.815,71.5,72.2,1.094,1.044,28.128,1.4,,,
3/20/24,B10,6,Indiana,Purdue,1,2,119.453,4,124.988,4,100.728,71,95.87,21,29.1183,3,33,29,4,87.87878788,56,42.8,16.5,14,37.4,75.3,24.7,62.6,53.2,40.8,9.6,6,64.5,55.1,78.09,1.864,52.594,72.1,72.4,1.196,1.006,36.076,11,,,
3/20/24,WCC,33,California,Saint Mary's,5,64,114.915,21,114.901,45,93.5732,3,95.0132,16,19.888,20,32,25,7,78.125,53.1,28.3,16,16.7,39,77.6,22.4,61,53,35.5,10.1,7.4,58.3,47.7,78.507,1.929,38.712,67.4,71.1,1.147,0.935,19.572,1.4,,,
3/20/24,MAAC,16,New Jersey,Saint Peter's,15,64,99.4394,292,98.5882,305,96.5396,12,100.91,76,-2.32142,187,31,18,13,58.06451613,45,38.1,19.6,20.3,35.1,70.6,29.4,64.9,42.4,33.9,12.8,10.6,49,49.7,77.234,1.797,0.702,71.9,70.5,0.992,0.963,9.395,-8.8,,,
3/20/24,SC,27,Alabama,Samford,13,64,113.993,26,113.083,69,100.909,76,103.291,116,9.79228,81,32,27,5,84.375,56.9,36.4,18.1,21.7,30.2,68,32,69.8,55.5,39.3,10.7,10.6,57.4,53.5,75.75,2.096,14.838,72.6,69.1,1.144,1.009,11.368,0.07,,,
3/20/24,MWC,20,California,San Diego St.,5,16,108.712,109,113.548,62,98.4268,31,93.8492,9,19.6993,21,32,22,10,68.75,49.8,37.5,16,18,32.7,72,28,67.3,51.6,31.3,11.9,8.9,50.8,48.6,77.576,2.508,43.201,72.9,70.1,1.086,0.986,30.359,2.6,,,
3/20/24,SEC,28,South Carolina,South Carolina,6,64,110.705,67,114.735,46,102.738,112,99.6715,54,15.0632,49,33,26,7,78.78787879,50.8,31.8,15.5,14.9,33.1,72,28,66.9,51.1,33.5,8.2,13.4,60.2,47.3,77.431,2.242,43.412,71.4,73,1.105,1.027,28.077,4.7,,,
3/20/24,Sum,30,South Dakota,South Dakota St.,15,64,110.141,79,108.662,134,104.075,152,105.674,163,2.98745,134,31,19,12,61.29032258,55.3,30.4,16.4,16.5,24.4,74.7,25.3,75.6,55.9,36.2,9.7,8.7,46.4,47.5,77.088,1.819,7.614,71.6,74.3,1.099,1.043,9.978,-7.4,,,
3/20/24,ASun,5,Florida,Stetson,16,64,111.41,53,110.262,100,112.757,336,114.366,342,-4.1041,218,31,19,12,61.29032258,53.4,31.7,15.8,13.5,27.5,68.8,31.2,72.5,52.5,36.5,7.8,8.1,48.7,49.5,77.673,2.058,19.778,76.3,73.3,1.112,1.121,12.662,-6.8,,,
3/20/24,B12,7,Texas,TCU,9,64,110.06,83,115.101,44,99.7082,48,97.8088,31,17.2923,33,33,21,12,63.63636364,51.9,35.1,17.9,20.8,35.5,71.4,28.6,64.5,51.2,35.6,10.2,8.7,59.5,56.4,78.079,2.75,53.769,73,69.9,1.106,0.994,32.604,1.3,,,
3/20/24,SEC,28,Tennessee,Tennessee,2,8,112.545,43,117.021,29,96.0253,8,91.0499,3,25.9712,7,32,24,8,75,51.5,34.3,14.6,18.9,32.4,71.4,28.6,67.6,51.6,34.2,13.6,8,61.2,49.5,76.606,2.262,55.338,74.9,70.7,1.125,0.961,34.068,5.8,,,
3/20/24,B12,7,Texas,Texas,7,32,111.933,52,118.526,19,102.265,104,100.122,61,18.4034,27,32,20,12,62.5,53.7,30.4,16.6,18.6,30.5,70,30,69.5,53.4,36.1,11.7,9,56.5,47.1,76.676,2.288,50.353,75.7,71.9,1.118,1.021,33.846,1.2,,,
3/20/24,SEC,28,Texas,Texas A&M,9,32,110.767,66,115.996,31,104.483,168,99.8885,57,16.108,44,34,20,14,58.82352941,45.4,38.2,14.2,16.9,41.9,72,28,58.1,47,28.4,8.9,13.6,44.5,59.9,77.138,2.393,55.263,70.9,70.7,1.105,1.046,33.304,0.25,,,
3/20/24,B12,7,Texas,Texas Tech,6,64,111.985,51,117.943,23,102.629,110,99.3985,45,18.5448,24,33,23,10,69.6969697,52.8,34.6,16.5,17,30.2,69.7,30.3,69.8,51.5,36.5,7,10.1,55.9,46.8,76.429,2.079,50.406,77.8,71,1.12,1.028,32.55,3.4,,,
3/20/24,Amer,4,Alabama,UAB,12,64,111.082,61,113.68,59,109.004,270,107.398,202,6.28179,106,33,22,11,66.66666667,50.1,40.5,16.7,16.1,35.3,69,31,64.7,50.4,33.1,12.3,10,49.6,48.9,77.086,2.218,21.521,74.3,72.2,1.111,1.088,17.731,-2.7,,,
3/20/24,MWC,20,Arkansas,Utah St.,8,32,112.576,42,115.617,39,101.866,92,100.502,68,15.1147,48,31,25,6,80.64516129,54.1,40,15.7,16.4,28.5,74.6,25.4,71.5,57.1,32.1,11.1,5.9,56.4,49,77.278,1.918,21.975,71.2,72,1.125,1.02,22.529,3.3,,,
3/20/24,AE,3,Vermont,Vermont,13,64,107.533,125,107.122,159,97.2349,19,100.145,62,6.9772,104,32,26,6,81.25,51.8,29.7,13.8,15.1,22.4,76.7,23.3,77.6,53.1,33.5,10.9,10.6,52.1,43.2,76.92,2.309,4.273,72.3,72.5,1.074,0.97,10.22,-1.2,,,
3/20/24,ACC,2,Virginia,Virginia,10,68,102.789,234,105.422,194,96.0936,9,93.3467,7,12.0752,69,33,23,10,69.6969697,49.3,25.1,13.2,19.3,26,71.9,28.1,74,46.8,36.3,15.9,8.7,63.4,52.1,77.845,1.636,61.004,63.7,75,1.027,0.962,25.743,1.2,,,
3/20/24,NEC,21,New York,Wagner,16,64,97.4514,315,95.7835,334,99.3912,37,105.878,171,-10.0944,293,29,14,15,48.27586207,44.6,26.8,15.9,17,29.5,73,27,70.5,42.8,31.6,7.1,9.7,54.9,59.2,76.232,1.596,0.2,70.7,67.7,0.973,0.994,8.04,-11.7,,,
3/20/24,P12,24,Washington,Washington St.,7,32,110.65,71,113.431,64,99.4722,40,97.215,27,16.2158,42,33,24,9,72.72727273,52.1,31.7,16.1,15.9,32.9,75.1,24.9,67.1,52.6,34,12.2,6.6,45.7,44.3,79.296,1.724,30.424,70.1,73.5,1.106,0.996,25.215,1.9,,,
3/20/24,CUSA,13,Kentucky,Western Kentucky,15,64,104.938,187,105.552,191,98.5188,32,102.489,103,3.06263,132,30,19,11,63.33333333,51.9,32.9,18.3,18.6,28.5,73.3,26.7,71.5,52.1,34.4,8.5,9.7,44.5,48.1,77.312,2.412,32.318,71.9,68.5,1.049,0.985,9.879,-6.6,,,
3/20/24,B10,6,Wisconsin,Wisconsin,5,64,113.142,33,120.06,13,104.746,176,99.4602,47,20.6003,17,35,22,13,62.85714286,52.4,33.5,14.6,16.9,30.5,75.5,24.5,69.5,52.6,34.8,4.5,10.7,47.7,47.2,78.442,1.974,52.194,75.9,72.5,1.129,1.052,37.153,3.3,,,
3/20/24,Ivy,15,Connecticut,Yale,13,32,110.425,75,110.825,89,102.165,100,101.352,90,9.47275,84,29,20,9,68.96551724,52.3,26.9,14.1,16,28.4,76,24,71.6,52.5,34.6,10,8.6,53.3,57.3,78.197,1.91,9.096,70.7,73.8,1.102,1.021,16.194,-2.5,,,
3/20/23,SEC,28,Alabama,Alabama,1,16,110.862,32,116.097,19,91.7957,5,88.5549,3,27.5425,3,29,5,34,85.29411765,52.7,36.7,19,15.9,33.8,72.5,27.5,66.2,54.6,33.8,11.3,11.4,54.8,41.8,78.117,1.13,66.119,72.6,71.4,1.106,0.922,33.7,10.2,,,
3/20/23,P12,24,Arizona,Arizona,2,64,113.208,13,119.979,4,98.1517,68,97.1195,41,22.8595,10,28,6,34,82.35294118,56.8,36.5,18.4,16.9,31.1,73.8,26.2,68.9,56.6,38.2,8.3,9.3,65.3,49.4,78.469,1.986,73.326,70.9,71.4,1.134,0.981,29.572,7.6,,,
3/20/23,P12,24,Arizona,Arizona St.,11,64,100.983,236,107.586,133,96.9713,48,95.2101,28,12.3762,68,22,12,34,64.70588235,47.5,30.8,16.9,20.6,29.6,68.2,31.8,70.4,47.9,31.4,13.2,8.2,56.9,53.9,77.112,2.242,48.279,68.9,70.2,1.006,0.968,28.637,1.3,,,
3/20/23,SEC,28,Arkansas,Arkansas,8,16,105.743,119,112.596,51,95.813,35,93.9677,16,18.6287,20,20,13,33,60.60606061,52,38.8,18.3,20.4,30.5,71.8,28.2,69.5,53.8,31.7,13.4,6.8,49.6,44.2,78.723,1.415,70.997,69,71.4,1.058,0.958,30.654,0.4,,,
3/20/23,SEC,28,Alabama,Auburn,9,32,105.387,131,112.689,48,97.2563,53,95.2408,29,17.4484,29,20,12,32,62.5,49.6,35.5,18.1,19.3,33.3,68,32,66.7,51,31.4,13.7,8.6,55,48.7,76.74,2.195,47.081,70.2,70.5,1.054,0.972,30.519,1.1,,,
3/20/23,B12,7,Texas,Baylor,3,32,113.141,14,121.852,2,103.675,190,101.871,104,19.9811,15,22,10,32,68.75,53.1,37.2,18.1,19.9,34.7,68.9,31.1,65.3,50.8,37.2,6.8,9.3,56.4,60.4,77.08,1.843,57.276,74.9,70.7,1.132,1.031,36.633,5.3,,,
3/20/23,MWC,20,Idaho,Boise St.,10,64,105.781,118,110.969,78,95.3921,26,93.8352,14,17.1342,31,23,9,32,71.875,51.9,30.7,16.7,17.7,26.4,76.2,23.8,73.6,50.7,36,8.2,9.5,43,46,77.646,2.119,17.176,73.9,69.3,1.058,0.954,24.425,2.3,,,
3/20/23,Pat,25,New York,Colgate,15,64,114.974,7,112.963,44,101.683,138,107.67,231,5.29267,114,25,8,33,75.75757576,58.6,27.6,14.9,17.6,24.9,75.9,24.1,75.1,57.1,40.9,7.7,8.3,61.5,53.7,77.42,2.225,0.2,66.2,68.6,1.15,1.019,8.434,-3.6,,,
3/20/23,CAA,12,South Carolina,College of Charleston,12,64,112.46,17,111.378,70,94.3072,14,99.6171,74,11.7607,73,30,3,33,90.90909091,51.5,32.7,16.7,19.3,35.1,74.5,25.5,64.9,52.9,33.3,7.8,10.9,49.1,44.8,76.909,2.031,0.2,74.3,68,1.126,0.944,8.862,1.7,,,
3/20/23,BE,8,Connecticut,Connecticut,4,1,114.228,9,119.437,6,95.0685,22,94.0686,18,25.3686,4,25,8,33,75.75757576,53.5,31.4,18.9,19.4,39.2,73.8,26.2,60.8,53.4,35.7,12.9,8.3,62.6,41,78.308,1.724,62.486,75.4,73.6,1.144,0.949,29.244,4.9,,,
3/20/23,BE,8,Ohio,Creighton,6,8,109.592,47,114.621,28,97.6468,61,93.9665,15,20.6545,13,21,12,33,63.63636364,54.3,28.1,16.6,14.3,25.5,76.7,23.3,74.5,54.5,36,9.5,8.3,57.8,47.1,77.87,1.549,67.359,76.7,72.9,1.095,0.979,32.269,1.9,,,
3/20/23,MVC,19,Iowa,Drake,12,64,108.714,65,109.84,98,94.3924,16,97.3312,44,12.5086,66,26,7,33,78.78787879,53.1,28.8,15.5,17.7,24.3,77.6,22.4,75.7,51.9,36.7,7.1,6.5,49.1,44,76.357,2.268,12.076,77.1,69.9,1.084,0.945,12.124,-0.7,,,
3/20/23,ACC,2,North Carolina ,Duke,5,32,110.245,38,113.242,42,96.9333,47,94.7531,24,18.4885,21,26,8,34,76.47058824,51.1,30.8,18.2,16.6,36.2,74.1,25.9,63.8,51.4,33.6,12,9.6,56.4,47.9,79.085,0.878,81.592,77,76.5,1.1,0.97,26.527,4.5,,,
3/20/23,NEC,21,New Jersey,Fairleigh Dickinson,16,32,108.88,61,106.175,155,108.232,297,118.425,361,-12.2499,312,17,15,32,53.125,51.5,27.9,16.3,21.4,31.4,71.1,28.9,68.6,51.4,34.4,5.7,10,51.5,56.4,73.373,1.943,0.2,74.9,75.6,1.088,1.084,5.422,-12.2,,,
