roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-134,male,C,some high school,0,1,60,92,41,28,221,C
std-135,male,B,bachelor's degree,1,1,25,82,80,94,281,B
std-136,male,E,some high school,1,1,93,81,75,91,340,A
std-137,male,D,some high school,1,0,72,44,78,58,252,B
std-138,male,D,some college,0,1,64,65,81,100,310,B
std-139,male,D,some college,1,0,41,72,88,64,265,B
std-140,male,C,some high school,1,1,36,67,60,77,240,C
std-141,male,C,associate's degree,0,1,33,88,31,97,249,C
std-142,male,D,associate's degree,1,0,54,86,62,78,280,B
std-143,male,B,high school,1,1,44,49,60,39,192,D
std-144,male,A,master's degree,1,0,44,17,92,86,239,C
std-145,male,D,high school,1,0,19,84,99,62,264,B
std-146,male,C,master's degree,1,0,29,59,47,48,183,D
std-147,male,C,some high school,0,1,39,58,72,25,194,D
std-148,male,C,some college,0,0,24,77,94,9,204,C
std-149,male,C,some college,1,0,76,91,100,41,308,B
std-150,male,C,master's degree,0,0,74,62,86,91,313,B
std-151,male,E,some college,1,1,65,62,63,56,246,C
std-152,male,B,master's degree,0,0,38,63,59,82,242,C
std-153,male,C,high school,1,0,71,58,56,73,258,B
std-154,male,D,some high school,0,0,75,100,100,34,309,B
std-155,male,B,bachelor's degree,0,0,68,79,77,89,313,B
std-156,male,D,high school,1,0,34,91,64,44,233,C
std-157,male,A,some high school,0,0,45,48,67,9,169,D
std-158,male,C,some college,0,1,46,34,86,59,225,C
std-159,male,B,some college,0,0,82,87,52,60,281,B
std-164,male,A,bachelor's degree,0,1,17,97,63,44,221,C
std-167,male,D,some college,0,0,89,68,64,99,320,A
std-168,male,A,associate's degree,1,0,50,60,57,32,199,D
std-169,male,C,high school,1,0,40,98,53,84,275,B
std-170,male,E,bachelor's degree,0,1,56,81,52,69,258,B
std-171,male,C,bachelor's degree,0,0,80,70,37,75,262,B
std-172,male,E,bachelor's degree,1,0,74,70,36,41,221,C
std-173,male,D,bachelor's degree,0,1,23,87,73,86,269,B
std-174,male,D,high school,1,0,53,51,73,87,264,B
std-175,male,D,some college,1,0,39,41,48,62,190,D
std-176,male,B,master's degree,0,0,30,69,93,91,283,B
std-177,male,E,high school,1,1,68,91,65,98,322,A
std-178,male,E,some high school,1,1,71,80,58,58,267,B
std-187,male,C,associate's degree,1,1,41,72,63,97,273,B
std-188,male,D,bachelor's degree,1,1,49,58,66,34,207,C
std-189,male,B,some college,1,0,16,100,88,36,240,C
std-190,male,C,associate's degree,0,1,37,99,52,45,233,C
std-191,male,C,high school,1,1,87,57,65,60,269,B
std-192,male,E,some college,1,1,45,100,46,73,264,B
std-193,male,B,associate's degree,0,0,32,47,61,61,201,C
std-194,male,D,some high school,1,1,62,91,89,63,305,B
std-195,male,E,some high school,1,1,58,88,64,62,272,B
std-196,male,E,bachelor's degree,0,1,51,60,54,74,239,C
std-197,male,D,master's degree,1,1,45,51,56,74,226,C
std-198,male,D,master's degree,1,0,33,63,53,85,234,C
std-199,male,D,some college,1,1,50,91,78,35,254,B
std-200,male,D,bachelor's degree,0,0,57,71,42,80,250,B
std-201,male,C,high school,1,1,80,100,84,46,310,B
std-202,male,A,some college,0,0,69,37,37,87,230,C
std-203,male,D,high school,0,0,39,66,51,40,196,D
std-204,male,C,some high school,1,1,9,95,88,68,260,B
std-205,male,C,master's degree,0,1,8,69,61,33,171,D
std-206,male,E,some high school,0,0,17,76,34,72,199,D
std-207,male,D,bachelor's degree,0,1,33,54,63,57,207,C
std-208,male,D,high school,0,1,16,50,81,100,247,C
std-209,male,B,some high school,0,0,65,92,49,30,236,C
std-210,male,A,high school,1,0,54,85,60,70,269,B
std-212,male,E,high school,1,0,51,60,63,47,221,C
std-220,male,B,associate's degree,0,0,75,57,42,53,227,C
std-221,male,C,some college,0,1,40,83,99,100,322,A
std-222,male,A,bachelor's degree,1,0,79,100,62,63,304,B
std-223,male,B,bachelor's degree,0,1,44,86,65,88,283,B
std-224,male,D,bachelor's degree,1,0,20,46,65,15,146,Fail
std-225,male,A,some high school,1,1,16,70,56,77,219,C
std-226,male,C,high school,0,0,65,45,56,45,211,C
std-227,male,E,high school,1,1,68,67,72,30,237,C
std-228,male,D,some high school,1,1,74,66,51,80,271,B
std-229,male,C,some college,1,0,16,83,66,49,214,C
std-230,male,B,high school,1,1,65,43,84,13,205,C
std-231,male,D,some college,1,1,71,88,72,46,277,B
std-232,male,D,some college,1,1,11,57,91,93,252,B
std-233,male,C,associate's degree,0,0,44,38,82,67,231,C
std-234,male,C,some college,0,0,12,64,74,92,242,C
std-235,male,E,associate's degree,0,0,11,93,56,92,252,B
std-236,male,E,associate's degree,0,0,54,75,79,58,266,B
std-237,male,D,associate's degree,1,0,21,58,68,65,212,C
std-238,male,E,some college,1,0,48,74,58,52,232,C
std-239,male,C,some college,0,0,40,51,51,74,216,C
std-240,male,C,high school,0,0,79,74,62,62,277,B
std-241,male,E,bachelor's degree,1,1,77,72,94,63,306,B
std-242,male,C,some college,1,0,19,63,69,58,209,C
std-243,male,E,some college,1,0,74,77,63,68,282,B
std-252,male,B,high school,1,0,72,100,100,46,318,B
std-253,male,A,high school,0,1,43,81,89,68,281,B
std-254,male,E,high school,0,0,68,41,42,54,205,C
std-255,male,C,high school,1,0,44,70,59,65,238,C
std-256,male,C,some college,0,1,83,39,56,36,214,C
std-257,male,E,high school,1,1,60,80,74,71,285,B
std-258,male,A,some college,1,0,82,100,75,71,328,A
std-259,male,E,bachelor's degree,1,0,22,65,48,50,185,D
std-260,male,E,master's degree,1,1,83,52,92,77,304,B
std-261,male,D,some high school,0,0,99,78,81,97,355,A
std-262,male,B,bachelor's degree,1,0,79,73,94,78,324,A
std-263,male,C,high school,1,0,55,52,87,54,248,C
std-264,male,E,associate's degree,0,0,39,89,55,77,260,B
std-265,male,D,some college,1,1,69,76,60,73,278,B
std-266,male,E,high school,1,0,50,65,59,64,238,C
std-267,male,D,associate's degree,0,0,89,74,70,67,300,B
std-268,male,C,associate's degree,1,1,60,93,63,47,263,B
std-269,male,D,associate's degree,1,0,53,94,92,63,302,B
std-270,male,C,some high school,1,0,72,98,73,77,320,A
std-271,male,A,high school,1,1,0,85,99,47,231,C
std-272,male,E,some high school,0,0,83,78,78,86,325,A
std-273,male,D,bachelor's degree,1,0,72,60,75,54,261,B
std-274,male,A,master's degree,1,0,49,88,75,42,254,B
std-275,male,B,high school,1,0,16,50,58,40,164,D
std-276,male,B,master's degree,1,0,78,60,50,75,263,B
std-277,male,D,bachelor's degree,0,1,41,66,52,45,204,C
std-278,male,B,associate's degree,1,0,33,65,61,59,218,C
std-279,male,D,some college,0,0,58,64,70,38,230,C
std-280,male,C,bachelor's degree,0,0,23,72,90,55,240,C
std-281,male,B,high school,1,0,46,92,52,32,222,C
std-282,male,D,high school,1,1,20,74,34,29,157,D
std-283,male,D,bachelor's degree,1,0,17,55,44,31,147,Fail
std-284,male,D,associate's degree,1,0,25,71,59,69,224,C
std-285,male,C,bachelor's degree,1,1,70,48,79,65,262,B
std-286,male,D,some college,0,0,46,69,70,44,229,C
std-287,male,E,some college,1,1,41,61,69,44,215,C
std-288,male,C,high school,1,0,69,36,65,94,264,B
std-289,male,B,bachelor's degree,1,0,61,40,72,44,217,C
std-290,male,B,high school,1,0,68,100,100,62,330,A
std-291,male,B,master's degree,0,0,68,65,76,59,268,B
std-292,male,D,associate's degree,1,0,41,35,66,37,179,D
std-293,male,D,bachelor's degree,1,1,24,33,47,11,115,Fail
std-294,male,E,bachelor's degree,0,0,48,94,100,49,291,B
std-295,male,D,master's degree,1,1,54,86,87,48,275,B
std-296,male,C,associate's degree,1,1,37,100,96,64,297,B
std-297,male,B,associate's degree,1,0,40,59,75,39,213,C
std-298,male,C,bachelor's degree,1,0,49,98,79,69,295,B
std-299,male,B,bachelor's degree,0,0,73,79,56,66,274,B
std-300,male,C,high school,0,0,67,100,64,80,311,B
std-301,male,D,master's degree,1,0,44,17,57,64,182,D
std-302,male,C,some high school,0,0,47,85,65,25,222,C
std-303,male,D,bachelor's degree,1,0,75,96,100,100,371,A
std-304,male,A,associate's degree,0,1,39,82,53,73,247,C
std-305,male,B,high school,0,1,44,76,53,10,183,D
std-306,male,B,high school,1,0,37,100,70,87,294,B
std-307,male,A,bachelor's degree,1,1,58,69,86,50,263,B
std-308,male,E,bachelor's degree,1,0,72,62,48,82,264,B
std-309,male,E,some college,0,0,26,76,85,59,246,C
std-310,male,C,associate's degree,0,0,25,44,56,39,164,D
std-311,male,C,some high school,1,0,59,100,69,75,303,B
std-312,male,C,some high school,1,0,98,100,95,67,360,A
std-313,male,B,bachelor's degree,0,1,63,100,55,38,256,B
std-314,male,E,high school,1,0,64,99,77,89,329,A
std-315,male,C,some college,0,0,25,51,95,48,219,C
std-316,male,C,associate's degree,1,1,75,67,80,49,271,B
std-317,male,B,some college,0,1,17,68,69,23,177,D
std-318,male,D,bachelor's degree,0,1,69,57,79,64,269,B
std-319,male,D,master's degree,0,1,29,93,69,60,251,B
std-320,male,D,some college,1,0,37,44,62,69,212,C
std-321,male,D,associate's degree,0,0,49,62,16,75,202,C
std-322,male,E,associate's degree,0,1,98,60,70,69,297,B
std-323,male,D,master's degree,1,0,30,63,73,43,209,C
std-324,male,E,master's degree,0,1,71,100,73,40,284,B
std-325,male,C,high school,0,0,39,58,34,46,177,D
std-326,male,D,some high school,0,1,19,46,67,9,141,Fail
std-327,male,B,master's degree,1,1,35,95,57,57,244,C
std-328,male,C,some high school,1,0,42,100,100,80,322,A
std-329,male,B,associate's degree,1,1,86,71,59,47,263,B
std-330,male,B,bachelor's degree,1,1,46,94,100,64,304,B
std-331,male,D,bachelor's degree,0,1,77,75,63,32,247,C
std-332,male,E,some college,1,1,79,44,70,78,271,B
std-333,male,B,some college,1,1,62,83,55,58,258,B
std-334,male,C,bachelor's degree,1,0,57,92,96,79,324,A
std-335,male,A,some high school,0,1,30,59,48,42,179,D
std-336,male,C,some high school,0,1,45,74,59,100,278,B
std-337,male,A,high school,1,0,77,96,58,90,321,A
std-338,male,D,high school,1,1,43,35,80,82,240,C
std-339,male,A,some high school,0,0,31,78,34,47,190,D
std-340,male,C,high school,1,0,30,100,87,54,271,B
std-341,male,C,high school,0,0,61,89,79,80,309,B
std-342,male,D,high school,1,1,61,89,86,71,307,B
std-343,male,E,some high school,1,0,92,70,45,69,276,B
std-344,male,B,some college,1,0,50,78,54,69,251,B
std-345,male,B,bachelor's degree,0,1,75,86,63,56,280,B
std-346,male,D,associate's degree,1,0,43,51,83,64,241,C
std-347,male,A,high school,1,0,64,71,69,64,268,B
std-348,male,C,associate's degree,1,0,19,17,83,63,182,D
std-349,male,C,associate's degree,1,0,17,82,65,89,253,B
std-350,male,B,high school,0,1,68,100,77,89,334,A
std-351,male,C,high school,0,0,54,79,36,94,263,B
std-352,male,C,associate's degree,0,0,79,91,83,66,319,B
std-353,male,D,high school,0,1,51,44,67,82,244,C
std-354,male,D,high school,1,0,24,81,53,45,203,C
std-355,male,B,associate's degree,0,1,79,67,76,54,276,B
std-356,male,B,high school,1,0,19,78,56,75,228,C
std-357,male,B,some college,1,0,52,76,68,59,255,B
std-358,male,D,some college,0,0,28,75,30,32,165,D
std-359,male,C,high school,0,0,86,66,43,12,207,C
std-360,male,C,some high school,1,0,50,100,76,62,288,B
std-361,male,C,associate's degree,1,1,50,55,66,79,250,B
std-362,male,C,high school,1,0,20,47,54,61,182,D
std-363,male,D,bachelor's degree,1,1,17,81,52,90,240,C
std-364,male,B,bachelor's degree,1,0,57,73,87,91,308,B
std-365,male,B,associate's degree,1,1,47,60,100,76,283,B
std-366,male,C,some college,1,1,94,63,72,97,326,A
std-367,male,D,associate's degree,1,0,46,31,69,49,195,D
std-368,male,D,some high school,1,1,70,84,96,81,331,A
std-369,male,C,some college,0,1,31,26,76,54,187,D
std-370,male,B,bachelor's degree,1,0,87,78,100,47,312,B
std-371,male,B,master's degree,0,0,24,54,55,83,216,C
std-372,male,D,high school,0,1,71,97,86,83,337,A
std-373,male,C,high school,1,0,59,34,93,46,232,C
std-374,male,C,some college,1,0,36,43,26,45,150,D
std-375,male,C,associate's degree,0,1,59,65,51,58,233,C
std-376,male,D,associate's degree,0,1,25,88,91,89,293,B
std-377,male,C,some high school,1,1,6,60,79,38,183,D
std-378,male,E,some high school,1,1,43,82,85,35,245,C
std-379,male,A,some college,1,0,60,63,95,53,271,B
std-380,male,D,bachelor's degree,0,1,70,100,78,89,337,A
std-381,male,C,high school,1,0,51,42,70,27,190,D
std-382,male,D,high school,0,1,67,49,38,58,212,C
std-383,male,B,some high school,1,0,23,96,67,38,224,C
std-384,male,E,master's degree,1,0,72,88,72,43,275,B
std-385,male,C,associate's degree,1,0,13,24,53,31,121,Fail
std-386,male,E,bachelor's degree,1,1,89,75,52,86,302,B
std-387,male,D,some college,1,1,28,17,52,58,155,D
std-388,male,E,some high school,1,1,18,87,100,26,231,C
std-389,male,D,some college,1,1,45,76,75,51,247,C
std-390,male,A,some high school,0,0,38,100,72,44,254,B
std-391,male,C,bachelor's degree,1,0,20,89,88,96,293,B
std-392,male,C,associate's degree,0,1,48,48,87,71,254,B
std-393,male,C,some college,1,0,19,76,61,57,213,C
std-394,male,D,associate's degree,0,0,53,72,63,67,255,B
std-395,male,D,master's degree,0,0,30,21,48,40,139,Fail
std-396,male,D,some high school,0,1,89,99,60,62,310,B
std-397,male,D,master's degree,1,0,36,100,61,75,272,B
std-398,male,D,bachelor's degree,1,0,81,47,83,85,296,B
std-399,male,D,some high school,1,1,99,100,44,17,260,B
std-400,male,D,bachelor's degree,1,0,27,50,51,98,226,C
std-401,male,B,associate's degree,0,0,60,100,100,56,316,B
std-402,male,D,bachelor's degree,0,0,48,71,91,98,308,B
std-403,male,C,bachelor's degree,0,1,64,74,49,86,273,B
std-404,male,E,bachelor's degree,1,0,73,73,82,29,257,B
std-405,male,E,high school,0,1,25,40,69,52,186,D
std-406,male,D,associate's degree,1,0,28,25,45,37,135,Fail
std-414,male,B,high school,1,0,72,61,37,47,217,C
std-416,male,D,associate's degree,0,1,54,44,80,50,228,C
std-417,male,B,associate's degree,1,1,50,77,91,46,264,B
std-418,male,E,high school,0,0,55,62,81,45,243,C
std-419,male,E,associate's degree,1,1,37,95,72,57,261,B
std-420,male,C,some college,1,0,98,60,96,50,304,B
std-421,male,B,associate's degree,0,0,25,84,60,50,219,C
std-422,male,B,high school,0,1,53,59,30,48,190,D
std-423,male,C,some high school,0,1,77,39,67,57,240,C
std-424,male,C,master's degree,1,1,12,70,73,59,214,C
std-425,male,D,associate's degree,0,1,57,67,47,95,266,B
std-426,male,C,associate's degree,1,0,46,61,76,86,269,B
std-427,male,E,some high school,1,0,30,76,70,47,223,C
std-428,male,D,some high school,1,0,45,65,55,81,246,C
std-429,male,C,high school,0,1,77,93,85,81,336,A
std-430,male,B,some college,0,0,17,48,73,57,195,D
std-431,male,A,master's degree,0,1,35,74,100,94,303,B
std-432,male,A,some college,0,1,91,98,66,100,355,A
std-433,male,C,high school,1,0,65,47,34,100,246,C
std-434,male,B,some college,0,0,74,98,88,83,343,A
std-435,male,A,high school,1,0,39,96,59,53,247,C
std-436,male,A,master's degree,1,0,34,48,52,80,214,C
std-437,male,C,some college,0,1,54,58,78,100,290,B
std-438,male,D,master's degree,1,0,67,54,81,64,266,B
std-439,male,B,high school,0,0,72,100,98,82,352,A
std-440,male,D,associate's degree,0,0,72,90,53,94,309,B
std-441,male,D,high school,1,1,54,86,28,88,256,B
std-442,male,E,associate's degree,1,0,34,53,54,57,198,D
std-443,male,E,some college,0,0,50,56,70,72,248,C
std-444,male,C,high school,0,0,53,73,82,65,273,B
std-445,male,B,associate's degree,0,0,71,44,64,54,233,C
std-446,male,B,associate's degree,1,0,48,92,73,54,267,B
std-447,male,C,master's degree,1,1,60,95,59,75,289,B
std-448,male,C,some high school,0,1,36,64,64,55,219,C
std-449,male,B,some college,0,0,97,64,58,34,253,B
std-450,male,C,some college,1,1,49,98,84,92,323,A
std-451,male,B,bachelor's degree,1,1,78,81,51,40,250,B
std-452,male,D,associate's degree,1,0,21,64,53,55,193,D
std-453,male,B,some college,1,0,96,84,82,100,362,A
std-454,male,D,associate's degree,1,1,77,60,29,54,220,C
std-455,male,C,high school,1,1,43,100,82,80,305,B
std-456,male,C,some high school,1,0,38,100,65,87,290,B
std-457,male,E,bachelor's degree,1,0,53,76,72,42,243,C
std-458,male,C,some college,0,1,53,100,65,53,271,B
std-459,male,D,associate's degree,1,1,51,65,64,93,273,B
std-460,male,C,some high school,1,1,70,52,45,69,236,C
std-461,male,C,high school,0,0,85,72,62,48,267,B
std-462,male,D,some high school,1,0,51,48,55,61,215,C
std-463,male,B,some college,1,1,56,93,69,77,295,B
std-464,male,C,bachelor's degree,1,1,75,100,83,38,296,B
std-465,male,B,some college,0,1,94,44,68,69,275,B
std-466,male,D,associate's degree,1,0,14,95,50,41,200,C
std-467,male,D,bachelor's degree,0,0,80,67,91,70,308,B
std-468,male,D,associate's degree,1,1,16,77,89,79,261,B
std-469,male,C,high school,0,0,32,82,53,74,241,C
std-470,male,D,master's degree,0,0,84,55,69,80,288,B
std-471,male,B,associate's degree,1,1,89,62,61,26,238,C
std-472,male,B,associate's degree,0,0,44,59,77,65,245,C
std-473,male,D,master's degree,0,0,57,96,52,61,266,B
std-474,male,E,associate's degree,0,0,86,77,33,33,229,C
std-475,male,C,associate's degree,0,1,38,89,64,50,241,C
std-476,male,C,bachelor's degree,0,1,89,46,50,89,274,B
std-477,male,D,associate's degree,1,1,46,52,76,73,247,C
std-478,male,D,master's degree,0,0,30,89,52,18,189,D
std-479,male,D,some college,0,0,30,75,78,59,242,C
std-480,male,D,some high school,0,0,32,43,38,57,170,D
std-481,male,B,some college,1,0,63,76,44,47,230,C
std-482,male,B,high school,0,1,95,60,80,81,316,B
std-483,male,D,some college,0,1,17,97,90,68,272,B
std-484,male,C,bachelor's degree,0,0,46,75,37,71,229,C
std-485,male,B,bachelor's degree,1,0,33,55,30,76,194,D
std-486,male,B,some college,1,1,87,96,100,63,346,A
std-487,male,D,some college,0,1,91,98,84,46,319,B
std-488,male,D,some high school,0,0,40,53,75,86,254,B
std-489,male,E,some college,1,0,49,59,79,34,221,C
std-490,male,D,high school,1,0,23,51,69,59,202,C
std-491,male,D,bachelor's degree,1,0,41,76,95,97,309,B
std-492,male,D,high school,1,0,29,71,71,55,226,C
std-493,male,B,associate's degree,1,1,32,25,69,39,165,D
std-494,male,C,some high school,0,1,100,57,54,94,305,B
std-495,male,C,some high school,0,0,46,45,85,56,232,C
std-496,male,D,some college,0,0,18,70,44,83,215,C
std-497,male,D,associate's degree,1,1,58,66,56,90,270,B
std-498,male,C,high school,1,0,96,52,52,80,280,B
std-499,male,A,some high school,0,1,34,86,66,91,277,B
std-500,male,C,associate's degree,0,0,77,95,61,55,288,B
std-501,male,C,some high school,0,0,32,54,75,35,196,D
std-502,male,C,some high school,1,0,61,72,100,83,316,B
std-503,male,C,some high school,1,1,85,100,62,96,343,A
std-504,male,D,associate's degree,0,1,15,53,57,63,188,D
std-505,male,A,some college,0,0,47,70,71,45,233,C
std-506,male,C,bachelor's degree,0,0,76,86,84,80,326,A
std-507,male,D,some high school,0,0,37,82,65,96,280,B
std-508,male,B,high school,1,0,60,85,72,58,275,B
std-509,male,C,high school,1,1,75,91,86,65,317,B
std-510,male,C,some high school,1,0,50,44,23,80,197,D
std-511,male,C,associate's degree,0,0,73,46,54,54,227,C
std-512,male,B,high school,0,1,39,34,72,44,189,D
std-513,male,C,some college,1,1,90,53,44,100,287,B
std-514,male,C,associate's degree,0,0,20,58,71,93,242,C
std-515,male,A,bachelor's degree,1,0,22,86,87,68,263,B
std-516,male,C,associate's degree,1,1,44,94,75,100,313,B
std-517,male,C,some college,0,0,61,63,98,53,275,B
std-518,male,C,some college,0,0,79,46,42,48,215,C
std-519,male,D,some college,1,1,48,95,79,84,306,B
std-520,male,B,some high school,0,1,23,68,58,48,197,D
std-521,male,D,some high school,1,0,40,83,62,62,247,C
std-522,male,C,master's degree,0,0,63,69,54,80,266,B
std-523,male,D,some college,1,0,39,83,77,75,274,B
std-524,male,B,some college,1,1,72,80,82,81,315,B
std-525,male,C,some college,1,0,83,53,87,60,283,B
std-526,male,A,high school,1,0,38,47,67,51,203,C
std-527,male,E,some high school,1,0,82,89,100,56,327,A
std-528,male,B,bachelor's degree,1,0,73,23,80,69,245,C
std-537,male,C,bachelor's degree,1,0,25,45,83,55,208,C
std-538,male,C,some high school,1,1,47,48,78,89,262,B
std-539,male,C,some high school,1,0,96,91,66,86,339,A
std-540,male,C,bachelor's degree,0,0,31,57,73,82,243,C
std-541,male,E,associate's degree,0,0,50,34,39,80,203,C
std-542,male,D,high school,0,0,40,82,25,82,229,C
std-543,male,C,master's degree,0,1,54,86,79,73,292,B
std-544,male,C,master's degree,1,0,30,35,40,22,127,Fail
std-545,male,E,some college,1,1,40,82,84,72,278,B
std-546,male,B,bachelor's degree,0,0,39,86,63,72,260,B
std-547,male,D,high school,1,1,49,60,79,83,271,B
std-548,male,C,some college,1,1,89,51,84,45,269,B
std-549,male,B,master's degree,1,0,27,69,80,27,203,C
std-550,male,C,some high school,0,1,27,73,69,64,233,C
std-551,male,D,associate's degree,0,0,42,93,55,100,290,B
std-552,male,B,some college,0,0,36,73,72,100,281,B
std-553,male,C,high school,1,0,53,53,23,51,180,D
std-554,male,B,some high school,0,1,100,45,66,82,293,B
std-555,male,C,some college,0,0,43,72,100,38,253,B
std-556,male,A,high school,1,0,72,40,83,92,287,B
std-557,male,E,bachelor's degree,1,0,43,100,82,72,297,B
std-558,male,D,some high school,0,0,68,83,92,66,309,B
std-559,male,E,master's degree,0,0,52,27,80,49,208,C
std-560,male,D,bachelor's degree,0,1,100,91,72,55,318,B
std-561,male,C,master's degree,1,0,62,53,68,55,238,C
std-562,male,C,some college,1,0,34,51,47,42,174,D
std-563,male,E,associate's degree,1,0,62,83,56,31,232,C
std-564,male,D,some college,1,1,31,51,68,54,204,C
std-565,male,C,some college,1,0,55,72,96,75,298,B
